Date,Year,Month,Quarter,Week,Day
15-02-2024,2024,February,Q1,7,Thursday
16-02-2024,2024,February,Q1,7,Friday
17-02-2024,2024,February,Q1,7,Saturday
18-02-2024,2024,February,Q1,7,Sunday
19-02-2024,2024,February,Q1,8,Monday
20-02-2024,2024,February,Q1,8,Tuesday
21-02-2024,2024,February,Q1,8,Wednesday
22-02-2024,2024,February,Q1,8,Thursday
23-02-2024,2024,February,Q1,8,Friday
24-02-2024,2024,February,Q1,8,Saturday
25-02-2024,2024,February,Q1,8,Sunday
26-02-2024,2024,February,Q1,9,Monday
27-02-2024,2024,February,Q1,9,Tuesday
28-02-2024,2024,February,Q1,9,Wednesday
29-02-2024,2024,February,Q1,9,Thursday
01-03-2024,2024,March,Q1,9,Friday
02-03-2024,2024,March,Q1,9,Saturday
03-03-2024,2024,March,Q1,9,Sunday
04-03-2024,2024,March,Q1,10,Monday
05-03-2024,2024,March,Q1,10,Tuesday
06-03-2024,2024,March,Q1,10,Wednesday
07-03-2024,2024,March,Q1,10,Thursday
08-03-2024,2024,March,Q1,10,Friday
09-03-2024,2024,March,Q1,10,Saturday
10-03-2024,2024,March,Q1,10,Sunday
11-03-2024,2024,March,Q1,11,Monday
12-03-2024,2024,March,Q1,11,Tuesday
13-03-2024,2024,March,Q1,11,Wednesday
14-03-2024,2024,March,Q1,11,Thursday
15-03-2024,2024,March,Q1,11,Friday
16-03-2024,2024,March,Q1,11,Saturday
17-03-2024,2024,March,Q1,11,Sunday
18-03-2024,2024,March,Q1,12,Monday
19-03-2024,2024,March,Q1,12,Tuesday
20-03-2024,2024,March,Q1,12,Wednesday
21-03-2024,2024,March,Q1,12,Thursday
22-03-2024,2024,March,Q1,12,Friday
23-03-2024,2024,March,Q1,12,Saturday
24-03-2024,2024,March,Q1,12,Sunday
25-03-2024,2024,March,Q1,13,Monday
26-03-2024,2024,March,Q1,13,Tuesday
27-03-2024,2024,March,Q1,13,Wednesday
28-03-2024,2024,March,Q1,13,Thursday
29-03-2024,2024,March,Q1,13,Friday
30-03-2024,2024,March,Q1,13,Saturday
31-03-2024,2024,March,Q1,13,Sunday
01-04-2024,2024,April,Q2,14,Monday
02-04-2024,2024,April,Q2,14,Tuesday
03-04-2024,2024,April,Q2,14,Wednesday
04-04-2024,2024,April,Q2,14,Thursday
05-04-2024,2024,April,Q2,14,Friday
06-04-2024,2024,April,Q2,14,Saturday
07-04-2024,2024,April,Q2,14,Sunday
08-04-2024,2024,April,Q2,15,Monday
09-04-2024,2024,April,Q2,15,Tuesday
10-04-2024,2024,April,Q2,15,Wednesday
11-04-2024,2024,April,Q2,15,Thursday
12-04-2024,2024,April,Q2,15,Friday
13-04-2024,2024,April,Q2,15,Saturday
14-04-2024,2024,April,Q2,15,Sunday
15-04-2024,2024,April,Q2,16,Monday
16-04-2024,2024,April,Q2,16,Tuesday
17-04-2024,2024,April,Q2,16,Wednesday
18-04-2024,2024,April,Q2,16,Thursday
19-04-2024,2024,April,Q2,16,Friday
20-04-2024,2024,April,Q2,16,Saturday
21-04-2024,2024,April,Q2,16,Sunday
22-04-2024,2024,April,Q2,17,Monday
23-04-2024,2024,April,Q2,17,Tuesday
24-04-2024,2024,April,Q2,17,Wednesday
25-04-2024,2024,April,Q2,17,Thursday
26-04-2024,2024,April,Q2,17,Friday
27-04-2024,2024,April,Q2,17,Saturday
28-04-2024,2024,April,Q2,17,Sunday
29-04-2024,2024,April,Q2,18,Monday
30-04-2024,2024,April,Q2,18,Tuesday
01-05-2024,2024,May,Q2,18,Wednesday
02-05-2024,2024,May,Q2,18,Thursday
03-05-2024,2024,May,Q2,18,Friday
04-05-2024,2024,May,Q2,18,Saturday
05-05-2024,2024,May,Q2,18,Sunday
06-05-2024,2024,May,Q2,19,Monday
07-05-2024,2024,May,Q2,19,Tuesday
08-05-2024,2024,May,Q2,19,Wednesday
09-05-2024,2024,May,Q2,19,Thursday
10-05-2024,2024,May,Q2,19,Friday
11-05-2024,2024,May,Q2,19,Saturday
12-05-2024,2024,May,Q2,19,Sunday
13-05-2024,2024,May,Q2,20,Monday
14-05-2024,2024,May,Q2,20,Tuesday
15-05-2024,2024,May,Q2,20,Wednesday
16-05-2024,2024,May,Q2,20,Thursday
17-05-2024,2024,May,Q2,20,Friday
18-05-2024,2024,May,Q2,20,Saturday
19-05-2024,2024,May,Q2,20,Sunday
20-05-2024,2024,May,Q2,21,Monday
21-05-2024,2024,May,Q2,21,Tuesday
22-05-2024,2024,May,Q2,21,Wednesday
23-05-2024,2024,May,Q2,21,Thursday
24-05-2024,2024,May,Q2,21,Friday
25-05-2024,2024,May,Q2,21,Saturday
26-05-2024,2024,May,Q2,21,Sunday
27-05-2024,2024,May,Q2,22,Monday
28-05-2024,2024,May,Q2,22,Tuesday
29-05-2024,2024,May,Q2,22,Wednesday
30-05-2024,2024,May,Q2,22,Thursday
31-05-2024,2024,May,Q2,22,Friday
01-06-2024,2024,June,Q2,22,Saturday
02-06-2024,2024,June,Q2,22,Sunday
03-06-2024,2024,June,Q2,23,Monday
04-06-2024,2024,June,Q2,23,Tuesday
05-06-2024,2024,June,Q2,23,Wednesday
06-06-2024,2024,June,Q2,23,Thursday
07-06-2024,2024,June,Q2,23,Friday
08-06-2024,2024,June,Q2,23,Saturday
09-06-2024,2024,June,Q2,23,Sunday
10-06-2024,2024,June,Q2,24,Monday
11-06-2024,2024,June,Q2,24,Tuesday
12-06-2024,2024,June,Q2,24,Wednesday
13-06-2024,2024,June,Q2,24,Thursday
14-06-2024,2024,June,Q2,24,Friday
15-06-2024,2024,June,Q2,24,Saturday
16-06-2024,2024,June,Q2,24,Sunday
17-06-2024,2024,June,Q2,25,Monday
18-06-2024,2024,June,Q2,25,Tuesday
19-06-2024,2024,June,Q2,25,Wednesday
20-06-2024,2024,June,Q2,25,Thursday
21-06-2024,2024,June,Q2,25,Friday
22-06-2024,2024,June,Q2,25,Saturday
23-06-2024,2024,June,Q2,25,Sunday
24-06-2024,2024,June,Q2,26,Monday
25-06-2024,2024,June,Q2,26,Tuesday
26-06-2024,2024,June,Q2,26,Wednesday
27-06-2024,2024,June,Q2,26,Thursday
28-06-2024,2024,June,Q2,26,Friday
29-06-2024,2024,June,Q2,26,Saturday
30-06-2024,2024,June,Q2,26,Sunday
01-07-2024,2024,July,Q3,27,Monday
02-07-2024,2024,July,Q3,27,Tuesday
03-07-2024,2024,July,Q3,27,Wednesday
04-07-2024,2024,July,Q3,27,Thursday
05-07-2024,2024,July,Q3,27,Friday
06-07-2024,2024,July,Q3,27,Saturday
07-07-2024,2024,July,Q3,27,Sunday
08-07-2024,2024,July,Q3,28,Monday
09-07-2024,2024,July,Q3,28,Tuesday
10-07-2024,2024,July,Q3,28,Wednesday
11-07-2024,2024,July,Q3,28,Thursday
12-07-2024,2024,July,Q3,28,Friday
13-07-2024,2024,July,Q3,28,Saturday
14-07-2024,2024,July,Q3,28,Sunday
15-07-2024,2024,July,Q3,29,Monday
16-07-2024,2024,July,Q3,29,Tuesday
17-07-2024,2024,July,Q3,29,Wednesday
18-07-2024,2024,July,Q3,29,Thursday
19-07-2024,2024,July,Q3,29,Friday
20-07-2024,2024,July,Q3,29,Saturday
21-07-2024,2024,July,Q3,29,Sunday
22-07-2024,2024,July,Q3,30,Monday
23-07-2024,2024,July,Q3,30,Tuesday
24-07-2024,2024,July,Q3,30,Wednesday
25-07-2024,2024,July,Q3,30,Thursday
26-07-2024,2024,July,Q3,30,Friday
27-07-2024,2024,July,Q3,30,Saturday
28-07-2024,2024,July,Q3,30,Sunday
29-07-2024,2024,July,Q3,31,Monday
30-07-2024,2024,July,Q3,31,Tuesday
31-07-2024,2024,July,Q3,31,Wednesday
01-08-2024,2024,August,Q3,31,Thursday
02-08-2024,2024,August,Q3,31,Friday
03-08-2024,2024,August,Q3,31,Saturday
04-08-2024,2024,August,Q3,31,Sunday
05-08-2024,2024,August,Q3,32,Monday
06-08-2024,2024,August,Q3,32,Tuesday
07-08-2024,2024,August,Q3,32,Wednesday
08-08-2024,2024,August,Q3,32,Thursday
09-08-2024,2024,August,Q3,32,Friday
10-08-2024,2024,August,Q3,32,Saturday
11-08-2024,2024,August,Q3,32,Sunday
12-08-2024,2024,August,Q3,33,Monday
13-08-2024,2024,August,Q3,33,Tuesday
14-08-2024,2024,August,Q3,33,Wednesday
15-08-2024,2024,August,Q3,33,Thursday
16-08-2024,2024,August,Q3,33,Friday
17-08-2024,2024,August,Q3,33,Saturday
18-08-2024,2024,August,Q3,33,Sunday
19-08-2024,2024,August,Q3,34,Monday
20-08-2024,2024,August,Q3,34,Tuesday
21-08-2024,2024,August,Q3,34,Wednesday
22-08-2024,2024,August,Q3,34,Thursday
23-08-2024,2024,August,Q3,34,Friday
24-08-2024,2024,August,Q3,34,Saturday
25-08-2024,2024,August,Q3,34,Sunday
26-08-2024,2024,August,Q3,35,Monday
27-08-2024,2024,August,Q3,35,Tuesday
28-08-2024,2024,August,Q3,35,Wednesday
29-08-2024,2024,August,Q3,35,Thursday
30-08-2024,2024,August,Q3,35,Friday
31-08-2024,2024,August,Q3,35,Saturday
01-09-2024,2024,September,Q3,35,Sunday
02-09-2024,2024,September,Q3,36,Monday
03-09-2024,2024,September,Q3,36,Tuesday
04-09-2024,2024,September,Q3,36,Wednesday
05-09-2024,2024,September,Q3,36,Thursday
06-09-2024,2024,September,Q3,36,Friday
07-09-2024,2024,September,Q3,36,Saturday
08-09-2024,2024,September,Q3,36,Sunday
09-09-2024,2024,September,Q3,37,Monday
10-09-2024,2024,September,Q3,37,Tuesday
11-09-2024,2024,September,Q3,37,Wednesday
12-09-2024,2024,September,Q3,37,Thursday
13-09-2024,2024,September,Q3,37,Friday
14-09-2024,2024,September,Q3,37,Saturday
15-09-2024,2024,September,Q3,37,Sunday
16-09-2024,2024,September,Q3,38,Monday
17-09-2024,2024,September,Q3,38,Tuesday
18-09-2024,2024,September,Q3,38,Wednesday
19-09-2024,2024,September,Q3,38,Thursday
20-09-2024,2024,September,Q3,38,Friday
21-09-2024,2024,September,Q3,38,Saturday
22-09-2024,2024,September,Q3,38,Sunday
23-09-2024,2024,September,Q3,39,Monday
24-09-2024,2024,September,Q3,39,Tuesday
25-09-2024,2024,September,Q3,39,Wednesday
26-09-2024,2024,September,Q3,39,Thursday
27-09-2024,2024,September,Q3,39,Friday
28-09-2024,2024,September,Q3,39,Saturday
29-09-2024,2024,September,Q3,39,Sunday
30-09-2024,2024,September,Q3,40,Monday
01-10-2024,2024,October,Q4,40,Tuesday
02-10-2024,2024,October,Q4,40,Wednesday
03-10-2024,2024,October,Q4,40,Thursday
04-10-2024,2024,October,Q4,40,Friday
05-10-2024,2024,October,Q4,40,Saturday
06-10-2024,2024,October,Q4,40,Sunday
07-10-2024,2024,October,Q4,41,Monday
08-10-2024,2024,October,Q4,41,Tuesday
09-10-2024,2024,October,Q4,41,Wednesday
10-10-2024,2024,October,Q4,41,Thursday
11-10-2024,2024,October,Q4,41,Friday
12-10-2024,2024,October,Q4,41,Saturday
13-10-2024,2024,October,Q4,41,Sunday
14-10-2024,2024,October,Q4,42,Monday
15-10-2024,2024,October,Q4,42,Tuesday
16-10-2024,2024,October,Q4,42,Wednesday
17-10-2024,2024,October,Q4,42,Thursday
18-10-2024,2024,October,Q4,42,Friday
19-10-2024,2024,October,Q4,42,Saturday
20-10-2024,2024,October,Q4,42,Sunday
21-10-2024,2024,October,Q4,43,Monday
22-10-2024,2024,October,Q4,43,Tuesday
23-10-2024,2024,October,Q4,43,Wednesday
24-10-2024,2024,October,Q4,43,Thursday
25-10-2024,2024,October,Q4,43,Friday
26-10-2024,2024,October,Q4,43,Saturday
27-10-2024,2024,October,Q4,43,Sunday
28-10-2024,2024,October,Q4,44,Monday
29-10-2024,2024,October,Q4,44,Tuesday
30-10-2024,2024,October,Q4,44,Wednesday
31-10-2024,2024,October,Q4,44,Thursday
01-11-2024,2024,November,Q4,44,Friday
02-11-2024,2024,November,Q4,44,Saturday
03-11-2024,2024,November,Q4,44,Sunday
04-11-2024,2024,November,Q4,45,Monday
05-11-2024,2024,November,Q4,45,Tuesday
06-11-2024,2024,November,Q4,45,Wednesday
07-11-2024,2024,November,Q4,45,Thursday
08-11-2024,2024,November,Q4,45,Friday
09-11-2024,2024,November,Q4,45,Saturday
10-11-2024,2024,November,Q4,45,Sunday
11-11-2024,2024,November,Q4,46,Monday
12-11-2024,2024,November,Q4,46,Tuesday
13-11-2024,2024,November,Q4,46,Wednesday
14-11-2024,2024,November,Q4,46,Thursday
15-11-2024,2024,November,Q4,46,Friday
16-11-2024,2024,November,Q4,46,Saturday
17-11-2024,2024,November,Q4,46,Sunday
18-11-2024,2024,November,Q4,47,Monday
19-11-2024,2024,November,Q4,47,Tuesday
20-11-2024,2024,November,Q4,47,Wednesday
21-11-2024,2024,November,Q4,47,Thursday
22-11-2024,2024,November,Q4,47,Friday
23-11-2024,2024,November,Q4,47,Saturday
24-11-2024,2024,November,Q4,47,Sunday
25-11-2024,2024,November,Q4,48,Monday
26-11-2024,2024,November,Q4,48,Tuesday
27-11-2024,2024,November,Q4,48,Wednesday
28-11-2024,2024,November,Q4,48,Thursday
29-11-2024,2024,November,Q4,48,Friday
30-11-2024,2024,November,Q4,48,Saturday
01-12-2024,2024,December,Q4,48,Sunday
02-12-2024,2024,December,Q4,49,Monday
03-12-2024,2024,December,Q4,49,Tuesday
04-12-2024,2024,December,Q4,49,Wednesday
05-12-2024,2024,December,Q4,49,Thursday
06-12-2024,2024,December,Q4,49,Friday
07-12-2024,2024,December,Q4,49,Saturday
08-12-2024,2024,December,Q4,49,Sunday
09-12-2024,2024,December,Q4,50,Monday
10-12-2024,2024,December,Q4,50,Tuesday
11-12-2024,2024,December,Q4,50,Wednesday
12-12-2024,2024,December,Q4,50,Thursday
13-12-2024,2024,December,Q4,50,Friday
14-12-2024,2024,December,Q4,50,Saturday
15-12-2024,2024,December,Q4,50,Sunday
16-12-2024,2024,December,Q4,51,Monday
17-12-2024,2024,December,Q4,51,Tuesday
18-12-2024,2024,December,Q4,51,Wednesday
19-12-2024,2024,December,Q4,51,Thursday
20-12-2024,2024,December,Q4,51,Friday
21-12-2024,2024,December,Q4,51,Saturday
22-12-2024,2024,December,Q4,51,Sunday
23-12-2024,2024,December,Q4,52,Monday
24-12-2024,2024,December,Q4,52,Tuesday
25-12-2024,2024,December,Q4,52,Wednesday
26-12-2024,2024,December,Q4,52,Thursday
27-12-2024,2024,December,Q4,52,Friday
28-12-2024,2024,December,Q4,52,Saturday
29-12-2024,2024,December,Q4,52,Sunday
30-12-2024,2024,December,Q4,1,Monday
31-12-2024,2024,December,Q4,1,Tuesday
01-01-2025,2025,January,Q1,1,Wednesday
02-01-2025,2025,January,Q1,1,Thursday
03-01-2025,2025,January,Q1,1,Friday
04-01-2025,2025,January,Q1,1,Saturday
05-01-2025,2025,January,Q1,1,Sunday
06-01-2025,2025,January,Q1,2,Monday
07-01-2025,2025,January,Q1,2,Tuesday
08-01-2025,2025,January,Q1,2,Wednesday
09-01-2025,2025,January,Q1,2,Thursday
10-01-2025,2025,January,Q1,2,Friday
11-01-2025,2025,January,Q1,2,Saturday
12-01-2025,2025,January,Q1,2,Sunday
13-01-2025,2025,January,Q1,3,Monday
14-01-2025,2025,January,Q1,3,Tuesday
15-01-2025,2025,January,Q1,3,Wednesday
16-01-2025,2025,January,Q1,3,Thursday
17-01-2025,2025,January,Q1,3,Friday
18-01-2025,2025,January,Q1,3,Saturday
19-01-2025,2025,January,Q1,3,Sunday
20-01-2025,2025,January,Q1,4,Monday
21-01-2025,2025,January,Q1,4,Tuesday
22-01-2025,2025,January,Q1,4,Wednesday
23-01-2025,2025,January,Q1,4,Thursday
24-01-2025,2025,January,Q1,4,Friday
25-01-2025,2025,January,Q1,4,Saturday
26-01-2025,2025,January,Q1,4,Sunday
27-01-2025,2025,January,Q1,5,Monday
28-01-2025,2025,January,Q1,5,Tuesday
29-01-2025,2025,January,Q1,5,Wednesday
30-01-2025,2025,January,Q1,5,Thursday
31-01-2025,2025,January,Q1,5,Friday
01-02-2025,2025,February,Q1,5,Saturday
02-02-2025,2025,February,Q1,5,Sunday
03-02-2025,2025,February,Q1,6,Monday
04-02-2025,2025,February,Q1,6,Tuesday
05-02-2025,2025,February,Q1,6,Wednesday
06-02-2025,2025,February,Q1,6,Thursday
07-02-2025,2025,February,Q1,6,Friday
08-02-2025,2025,February,Q1,6,Saturday
09-02-2025,2025,February,Q1,6,Sunday
10-02-2025,2025,February,Q1,7,Monday
11-02-2025,2025,February,Q1,7,Tuesday
12-02-2025,2025,February,Q1,7,Wednesday
13-02-2025,2025,February,Q1,7,Thursday
14-02-2025,2025,February,Q1,7,Friday
15-02-2025,2025,February,Q1,7,Saturday
16-02-2025,2025,February,Q1,7,Sunday
17-02-2025,2025,February,Q1,8,Monday
18-02-2025,2025,February,Q1,8,Tuesday
19-02-2025,2025,February,Q1,8,Wednesday
20-02-2025,2025,February,Q1,8,Thursday
21-02-2025,2025,February,Q1,8,Friday
22-02-2025,2025,February,Q1,8,Saturday
23-02-2025,2025,February,Q1,8,Sunday
24-02-2025,2025,February,Q1,9,Monday
25-02-2025,2025,February,Q1,9,Tuesday
26-02-2025,2025,February,Q1,9,Wednesday
27-02-2025,2025,February,Q1,9,Thursday
28-02-2025,2025,February,Q1,9,Friday
01-03-2025,2025,March,Q1,9,Saturday
02-03-2025,2025,March,Q1,9,Sunday
03-03-2025,2025,March,Q1,10,Monday
04-03-2025,2025,March,Q1,10,Tuesday
05-03-2025,2025,March,Q1,10,Wednesday
06-03-2025,2025,March,Q1,10,Thursday
07-03-2025,2025,March,Q1,10,Friday
08-03-2025,2025,March,Q1,10,Saturday
09-03-2025,2025,March,Q1,10,Sunday
10-03-2025,2025,March,Q1,11,Monday
11-03-2025,2025,March,Q1,11,Tuesday
12-03-2025,2025,March,Q1,11,Wednesday
13-03-2025,2025,March,Q1,11,Thursday
14-03-2025,2025,March,Q1,11,Friday
15-03-2025,2025,March,Q1,11,Saturday
16-03-2025,2025,March,Q1,11,Sunday
17-03-2025,2025,March,Q1,12,Monday
18-03-2025,2025,March,Q1,12,Tuesday
19-03-2025,2025,March,Q1,12,Wednesday
20-03-2025,2025,March,Q1,12,Thursday
21-03-2025,2025,March,Q1,12,Friday
22-03-2025,2025,March,Q1,12,Saturday
23-03-2025,2025,March,Q1,12,Sunday
24-03-2025,2025,March,Q1,13,Monday
25-03-2025,2025,March,Q1,13,Tuesday
26-03-2025,2025,March,Q1,13,Wednesday
27-03-2025,2025,March,Q1,13,Thursday
28-03-2025,2025,March,Q1,13,Friday
29-03-2025,2025,March,Q1,13,Saturday
30-03-2025,2025,March,Q1,13,Sunday
31-03-2025,2025,March,Q1,14,Monday
01-04-2025,2025,April,Q2,14,Tuesday
02-04-2025,2025,April,Q2,14,Wednesday
03-04-2025,2025,April,Q2,14,Thursday
04-04-2025,2025,April,Q2,14,Friday
05-04-2025,2025,April,Q2,14,Saturday
06-04-2025,2025,April,Q2,14,Sunday
07-04-2025,2025,April,Q2,15,Monday
08-04-2025,2025,April,Q2,15,Tuesday
09-04-2025,2025,April,Q2,15,Wednesday
10-04-2025,2025,April,Q2,15,Thursday
11-04-2025,2025,April,Q2,15,Friday
12-04-2025,2025,April,Q2,15,Saturday
13-04-2025,2025,April,Q2,15,Sunday
14-04-2025,2025,April,Q2,16,Monday
15-04-2025,2025,April,Q2,16,Tuesday
16-04-2025,2025,April,Q2,16,Wednesday
17-04-2025,2025,April,Q2,16,Thursday
18-04-2025,2025,April,Q2,16,Friday
19-04-2025,2025,April,Q2,16,Saturday
20-04-2025,2025,April,Q2,16,Sunday
21-04-2025,2025,April,Q2,17,Monday
22-04-2025,2025,April,Q2,17,Tuesday
23-04-2025,2025,April,Q2,17,Wednesday
24-04-2025,2025,April,Q2,17,Thursday
25-04-2025,2025,April,Q2,17,Friday
26-04-2025,2025,April,Q2,17,Saturday
27-04-2025,2025,April,Q2,17,Sunday
28-04-2025,2025,April,Q2,18,Monday
29-04-2025,2025,April,Q2,18,Tuesday
30-04-2025,2025,April,Q2,18,Wednesday
01-05-2025,2025,May,Q2,18,Thursday
02-05-2025,2025,May,Q2,18,Friday
03-05-2025,2025,May,Q2,18,Saturday
04-05-2025,2025,May,Q2,18,Sunday
05-05-2025,2025,May,Q2,19,Monday
06-05-2025,2025,May,Q2,19,Tuesday
07-05-2025,2025,May,Q2,19,Wednesday
08-05-2025,2025,May,Q2,19,Thursday
09-05-2025,2025,May,Q2,19,Friday
10-05-2025,2025,May,Q2,19,Saturday
11-05-2025,2025,May,Q2,19,Sunday
12-05-2025,2025,May,Q2,20,Monday
13-05-2025,2025,May,Q2,20,Tuesday
14-05-2025,2025,May,Q2,20,Wednesday
15-05-2025,2025,May,Q2,20,Thursday
16-05-2025,2025,May,Q2,20,Friday
17-05-2025,2025,May,Q2,20,Saturday
18-05-2025,2025,May,Q2,20,Sunday
19-05-2025,2025,May,Q2,21,Monday
20-05-2025,2025,May,Q2,21,Tuesday
21-05-2025,2025,May,Q2,21,Wednesday
22-05-2025,2025,May,Q2,21,Thursday
23-05-2025,2025,May,Q2,21,Friday
24-05-2025,2025,May,Q2,21,Saturday
25-05-2025,2025,May,Q2,21,Sunday
26-05-2025,2025,May,Q2,22,Monday
27-05-2025,2025,May,Q2,22,Tuesday
28-05-2025,2025,May,Q2,22,Wednesday
29-05-2025,2025,May,Q2,22,Thursday
30-05-2025,2025,May,Q2,22,Friday
31-05-2025,2025,May,Q2,22,Saturday
01-06-2025,2025,June,Q2,22,Sunday
02-06-2025,2025,June,Q2,23,Monday
03-06-2025,2025,June,Q2,23,Tuesday
04-06-2025,2025,June,Q2,23,Wednesday
05-06-2025,2025,June,Q2,23,Thursday
06-06-2025,2025,June,Q2,23,Friday
07-06-2025,2025,June,Q2,23,Saturday
08-06-2025,2025,June,Q2,23,Sunday
09-06-2025,2025,June,Q2,24,Monday
10-06-2025,2025,June,Q2,24,Tuesday
11-06-2025,2025,June,Q2,24,Wednesday
12-06-2025,2025,June,Q2,24,Thursday
13-06-2025,2025,June,Q2,24,Friday
14-06-2025,2025,June,Q2,24,Saturday
15-06-2025,2025,June,Q2,24,Sunday
16-06-2025,2025,June,Q2,25,Monday
17-06-2025,2025,June,Q2,25,Tuesday
18-06-2025,2025,June,Q2,25,Wednesday
19-06-2025,2025,June,Q2,25,Thursday
20-06-2025,2025,June,Q2,25,Friday
21-06-2025,2025,June,Q2,25,Saturday
22-06-2025,2025,June,Q2,25,Sunday
23-06-2025,2025,June,Q2,26,Monday
24-06-2025,2025,June,Q2,26,Tuesday
25-06-2025,2025,June,Q2,26,Wednesday
26-06-2025,2025,June,Q2,26,Thursday
27-06-2025,2025,June,Q2,26,Friday
28-06-2025,2025,June,Q2,26,Saturday
29-06-2025,2025,June,Q2,26,Sunday
30-06-2025,2025,June,Q2,27,Monday
01-07-2025,2025,July,Q3,27,Tuesday
02-07-2025,2025,July,Q3,27,Wednesday
03-07-2025,2025,July,Q3,27,Thursday
04-07-2025,2025,July,Q3,27,Friday
05-07-2025,2025,July,Q3,27,Saturday
06-07-2025,2025,July,Q3,27,Sunday
07-07-2025,2025,July,Q3,28,Monday
08-07-2025,2025,July,Q3,28,Tuesday
09-07-2025,2025,July,Q3,28,Wednesday
10-07-2025,2025,July,Q3,28,Thursday
11-07-2025,2025,July,Q3,28,Friday
12-07-2025,2025,July,Q3,28,Saturday
13-07-2025,2025,July,Q3,28,Sunday
14-07-2025,2025,July,Q3,29,Monday
15-07-2025,2025,July,Q3,29,Tuesday
16-07-2025,2025,July,Q3,29,Wednesday
17-07-2025,2025,July,Q3,29,Thursday
18-07-2025,2025,July,Q3,29,Friday
19-07-2025,2025,July,Q3,29,Saturday
20-07-2025,2025,July,Q3,29,Sunday
21-07-2025,2025,July,Q3,30,Monday
22-07-2025,2025,July,Q3,30,Tuesday
23-07-2025,2025,July,Q3,30,Wednesday
24-07-2025,2025,July,Q3,30,Thursday
25-07-2025,2025,July,Q3,30,Friday
26-07-2025,2025,July,Q3,30,Saturday
27-07-2025,2025,July,Q3,30,Sunday
28-07-2025,2025,July,Q3,31,Monday
29-07-2025,2025,July,Q3,31,Tuesday
30-07-2025,2025,July,Q3,31,Wednesday
31-07-2025,2025,July,Q3,31,Thursday
01-08-2025,2025,August,Q3,31,Friday
02-08-2025,2025,August,Q3,31,Saturday
03-08-2025,2025,August,Q3,31,Sunday
04-08-2025,2025,August,Q3,32,Monday
05-08-2025,2025,August,Q3,32,Tuesday
06-08-2025,2025,August,Q3,32,Wednesday
07-08-2025,2025,August,Q3,32,Thursday
08-08-2025,2025,August,Q3,32,Friday
09-08-2025,2025,August,Q3,32,Saturday
10-08-2025,2025,August,Q3,32,Sunday
11-08-2025,2025,August,Q3,33,Monday
12-08-2025,2025,August,Q3,33,Tuesday
13-08-2025,2025,August,Q3,33,Wednesday
14-08-2025,2025,August,Q3,33,Thursday
15-08-2025,2025,August,Q3,33,Friday
16-08-2025,2025,August,Q3,33,Saturday
17-08-2025,2025,August,Q3,33,Sunday
18-08-2025,2025,August,Q3,34,Monday
19-08-2025,2025,August,Q3,34,Tuesday
20-08-2025,2025,August,Q3,34,Wednesday
21-08-2025,2025,August,Q3,34,Thursday
22-08-2025,2025,August,Q3,34,Friday
23-08-2025,2025,August,Q3,34,Saturday
24-08-2025,2025,August,Q3,34,Sunday
25-08-2025,2025,August,Q3,35,Monday
26-08-2025,2025,August,Q3,35,Tuesday
27-08-2025,2025,August,Q3,35,Wednesday
28-08-2025,2025,August,Q3,35,Thursday
